name,category,founded,status,survival_score,signal_coverage,http_status,wayback_last_snapshot_days,feed_last_post_days,github_commits_90d,careers_page_found,jobs_detected,notes
FlowiseAI,AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Summer 2023)
Inari,AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Summer 2023)
Pincites,Legal AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Summer 2023)
Deasy Labs,AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Summer 2023)
Xeol,AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Summer 2023)
DAGWorks Inc.,AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Winter 2023)
Fintool,AI,2022,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Winter 2023)
Booth AI,AI,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Winter 2023)
Langfuse,ML Infrastructure,2023,Pivoted / Absorbed,40.0,0.17,,,,,,,YC marked Acquired (batch: Winter 2023)
Nuntius,AI,2025,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2025); presumed shut down
Zeroframe,AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Fall 2024); presumed shut down
Invaria,AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2024); presumed shut down
Lumona,AI Search,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Thorntale,AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Abel,Legal AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Toolify,AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Engines,Code AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Quary,Analytics,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
RadMate AI,AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Lantern,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2024); presumed shut down
Kips Health,Healthcare AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
Movley,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
Vizly,Data Infrastructure,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
Lysto,AI,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
GreenTally,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
Atla,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
Branch AI,AI Search,2024,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Summer 2023); presumed shut down
Interlock,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2023); presumed shut down
CodeParrot AI,Design AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2023); presumed shut down
Magicflow,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2023); presumed shut down
Rubber Ducky Labs,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2023); presumed shut down
Lynx,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2023); presumed shut down
Layup,AI,2023,Likely Dead,0.0,0.17,,,,,,,YC marked Inactive (batch: Winter 2023); presumed shut down
Fathom,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Klariqo AI Voice Assistants,Voice AI,,Not Yet Enriched,0.0,0.0,,,,,,,
AI Browser,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Figma,Design AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Screen Studio,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Mixpanel,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Bubble,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Notion,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Product Hunt,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Remy Ai,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Vercel,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Next.js,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Cal,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Deepgram,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Amplitude,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Supabase,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Lovable,Code AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Beforesunset,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Claude by Anthropic,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Raycast,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Slack,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Findr 5,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
ChatGPT by OpenAI,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
GPT-4o,ML Infrastructure,,Not Yet Enriched,0.0,0.0,,,,,,,
Warp,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
GitHub,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Polar 6,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Welltory,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Jetbrains,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Stripe,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Daily,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Claude Code,Code AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Happycapy,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Daily Dev,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
AWS,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Miro,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
D Id,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
Dodo Payments,AI,,Not Yet Enriched,0.0,0.0,,,,,,,
