name,website,batch,status,founded_year,team_size,one_liner,yc_slug,source
Fleetline,https://fleetline.ai,Summer 2025,Active,2025,7,Optimizing fleet planning with data driven algorithms,fleetline,ycombinator
stagewise,https://stagewise.io,Summer 2025,Active,2025,2,The coding agent built for the web,stagewise,ycombinator
Reacher,https://reacherapp.com/,Summer 2025,Active,2025,15,We automate creator marketing for the world's largest brands,reacher,ycombinator
Certus AI,https://www.certus-ai.com/,Summer 2025,Active,2025,3,Replacing the restaurant phone line with Voice AI,certus-ai,ycombinator
Pally,https://pally.com,Summer 2025,Active,2025,3,Intelligent Unified Inbox + Personal CRM,pally,ycombinator
Locata,https://www.locatahealth.com/,Summer 2025,Active,2025,4,AI Referral Automation for Primary Care Clinics,locata,ycombinator
Pleom,https://pleom.com,Summer 2025,Active,2025,0,AgenticBusiness Intelligence,pleom,ycombinator
Eden,https://edenhq.com,Summer 2025,Active,2025,2,Synthetic data + simulators for sales demos,tryeden,ycombinator
Humoniq,https://humoniq.ai,Summer 2025,Active,2025,6,AI-Native BPO for travel & transport,humoniq,ycombinator
Palace,https://www.palace.so,Summer 2025,Active,2025,2,Palace lets commercial truck fleet optimize load plans in less time,palace,ycombinator
Floot,https://floot.com,Summer 2025,Active,2025,2,The easiest wayfor non-coders to build apps with AI.,floot,ycombinator
Alara,http://alaradental.com,Summer 2025,Active,2025,0,Procurement Platform for Dental Offices,alara,ycombinator
Omnara,https://omnara.com,Summer 2025,Active,2025,4,Mobile & Web Interface for Claude Code & Codex,omnara,ycombinator
Knowlify,https://www.knowlify.com/,Summer 2025,Active,2025,6,The AI Explainer Video Maker,knowlify,ycombinator
Autosana,https://autosana.ai,Summer 2025,Active,2025,2,AI agents for E2Etesting across mobile & web,autosana,ycombinator
Finto,https://www.gofinto.com/,Summer 2025,Active,2025,7,AI accounting for enterprise finance teams,finto-de,ycombinator
Manufact (formerly mcp-use),https://manufact.com,Summer 2025,Active,2025,4,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,manufact,ycombinator
Phases,https://phases.ai,Summer 2025,Active,2025,3,"""Automating clinical trials, starting with patient recruitment.""",phases,ycombinator
Mimos,https://www.trymimos.com/,Summer 2025,Active,2025,2,Helping companies rankin AI search,mimos,ycombinator
Normal,https://www.normalfactory.com/,Summer 2025,Active,2025,2,Testing and certifying the hardware of the future,normal,ycombinator
GhostEye,https://ghosteye.ai,Summer 2025,Active,2025,2,Vulnerability Management for the Human Layer ,ghosteye,ycombinator
Channel3,https://trychannel3.com,Summer 2025,Active,2025,5,Database of every product on the internet,channel3,ycombinator
Embedder,https://www.embedder.com,Summer 2025,Active,2025,4,AIFirmware Engineer,embedder,ycombinator
Doe,https://doe.so/,Summer 2025,Active,2025,4,"""The boring stuff, handled. Everything else, supercharged.""",doe,ycombinator
Riverbank,https://www.riverbank.sh/,Summer 2025,Active,2025,1,AI-native RedTeaming and Offensive Security ,riverbank,ycombinator
Stellon Labs,https://stellonlabs.com/,Summer 2025,Active,2025,2,Building tiny frontier AI models that run on edge devices,stellon-labs,ycombinator
AgentHub,https://www.agenthublabs.com,Summer 2025,Active,2025,2,The simulation and evaluation engine for AI agents,agenthub-2,ycombinator
Slashy,https://www.slashy.com/,Summer 2025,Active,2025,3,Cursor for Email,slashy,ycombinator
Wedge,https://www.wedge.health,Summer 2025,Active,2025,2,Palantir for Healthcare AI Agents,wedge,ycombinator
CareSwift,https://www.careswift.com/,Summer 2025,Active,2025,2,AI scribe for Ambulance Reports,careswift,ycombinator
DeepAware AI,https://roboticscenter.ai/,Summer 2025,Active,2025,2,"""Robots, parts & RL environments - delivered in 72 hrs or pickup in SF.""",deepaware-ai,ycombinator
Magnitude,https://magnitude.dev,Summer 2025,Active,2025,2,Open source coding agent,magnitude,ycombinator
Nori,https://nori.ai,Fall 2025,Active,2025,3,AI health coach in your pocket,nori,ycombinator
Frizzle,https://www.frizzle.com,Summer 2025,Active,2025,2,AI Grading for Teachers,frizzle,ycombinator
Alter,https://alterai.dev,Summer 2025,Active,2025,2,Secure access control and authorization platform for agent workflows,alter,ycombinator
Cyberdesk,https://www.cyberdesk.io,Summer 2025,Active,2025,2,Self learning computer use agent for developers,cyberdesk,ycombinator
Panels,https://www.usepanels.com/,Summer 2025,Active,2025,2,Audio Data for AI Labs,panels,ycombinator
Monarcha,https://monarcha.ai,Summer 2025,Active,2025,2,Turn maps into data,monarcha,ycombinator
Lotas,https://www.lotas.ai,Summer 2025,Active,2025,2,AI for Data Science and 3D,lotas,ycombinator
Design Arena,https://www.designarena.ai/,Summer 2025,Active,2025,3,World's largest crowdsourced benchmark for AI-generated design,design-arena,ycombinator
Datafruit,https://datafruit.ai/,Summer 2025,Active,2025,4,The AI workspace for software implementations,datafruit,ycombinator
Liva AI,https://www.theliva.ai,Summer 2025,Active,2025,2,Audio & Video Data,liva-ai,ycombinator
Lanesurf,https://www.lanesurf.com/,Summer 2025,Active,2025,4,Voice AI for booking freight,lanesurf,ycombinator
Astor,https://astor.app/,Summer 2025,Active,2025,5,AI advisor for retail investors,astor,ycombinator
truthsystems,https://www.truthsystems.ai,Summer 2025,Active,2025,3,Automatically blocking risky behavior with real-time governance agents,truthsystems,ycombinator
MangoDesk,https://www.mangodesk.com/,Summer 2025,Active,2025,2,RL environments for software engineering,mangodesk,ycombinator
Closera,https://closera.com,Summer 2025,Active,2025,2,AI employees for commercial real estate,closera,ycombinator
Meteor,https://browse.dev,Summer 2025,Active,2025,2,An AI-Native Browser,meteor,ycombinator
Prox,https://useprox.com,Fall 2025,Active,2025,2,AI technical support for complex physical products,prox,ycombinator
Autonomous Technologies Group,https://becomeautonomous.com/,Fall 2025,Active,2025,8,Superintelligentfinancial advisor,autonomous-technologies-group,ycombinator
Docket,https://docketqa.com,Spring 2025,Active,2025,2,AI agents for web testing,docket,ycombinator
Aegis,https://aegishealth.us/,Spring 2025,Active,2025,3,AI Agents to win denied health insurance claims.,aegis,ycombinator
Text.ai,https://www.text.ai/,Spring 2025,Active,2025,4,Alfi - your group chat with social skills to bring friends closer,text-ai,ycombinator
StarSling,https://www.starsling.dev/,Spring 2025,Active,2025,2,Cursor for DevOps,starsling,ycombinator
Wavedash,https://wavedash.com,Spring 2025,Active,2025,3,Play the latest games in your browser with no downloads,wavedash,ycombinator
Cactus,https://oncactus.com,Spring 2025,Active,2025,2,24/7 AI Call Center for Home Services,oncactus,ycombinator
Vision Lab,https://thevisionlab.ai/,Spring 2025,Active,2025,8,Industrial data layer for robotics training,vision-lab,ycombinator
Code Four,https://codefour.us/,Spring 2025,Active,2025,3,Modernizing the police workflow.,code-four,ycombinator
Lumari,https://www.lumari.io/,Spring 2025,Active,2025,5,AI Digital Workers for Supply Chain ,lumari,ycombinator
Moby Analytics,https://www.mobyanalytics.com/,Spring 2025,Active,2025,4,AI financial auditors,moby-analytics,ycombinator
Mesmer,https://mesmer.co,Spring 2025,Active,2025,3,Cursor for CTOs,mesmer,ycombinator
Orchid,https://orchid.ai,Spring 2025,Active,2025,3,Proactive agent for work,orchid-ai,ycombinator
Scalar Field,https://www.scalarfield.io/,Spring 2025,Active,2025,3,Reinventing the trading terminal — one intelligent agent at a time.,scalar-field,ycombinator
Cactus,https://www.cactuscompute.com/,Summer 2025,Active,2025,8,Low-latency AI engine for mobile devices & wearables,cactus,ycombinator
Boost Robotics,https://www.boostrobotics.ai,Spring 2025,Active,2025,2,Robots for the inspection and maintenance of data centers,boost-robotics,ycombinator
KlavisAI,https://www.klavis.ai/,Spring 2025,Active,2025,3,Live Environments for Training AI Agents,klavis-ai,ycombinator
Besimple AI,https://besimple.ai,Spring 2025,Active,2025,6,Voice data for AI,besimple-ai,ycombinator
Human Behavior,https://www.humanbehavior.co/,Spring 2025,Active,2025,3,Understand your users beyondthe numbers,human-behavior,ycombinator
QualGent,https://www.qualgent.ai,Spring 2025,Active,2025,10,AI Mobile App Quality Assurance Tester,qualgent,ycombinator
Theta,https://thetasoftware.com,Spring 2025,Active,2025,7,Specialized AI forEvery Job,theta,ycombinator
Cleon,https://getcleon.ai,Spring 2025,Active,2025,2,AI agents for hotels & resorts,cleon,ycombinator
Crimson,https://crimson.law,Spring 2025,Active,2025,4,The AI Associate for Litigation Lawyers,crimson,ycombinator
Morphik,https://morphik.ai,Spring 2025,Active,2025,2,Open-source multimodal search for AI apps,morphik,ycombinator
Clidey,https://clidey.com,Spring 2025,Active,2025,4,Model your organization. Run it in real time.,clidey,ycombinator
Sixtyfour,https://www.sixtyfour.ai/,Spring 2025,Active,2025,8,IntelligenceInfrastructure on People and Entities,sixtyfour,ycombinator
Tegore,https://tegore.ai/,Spring 2025,Active,2025,1,Your new AI-powered math tutor.,tegore,ycombinator
Freesolo,https://freesolo.co,Spring 2025,Active,2025,4,Product Native Models,freesolo,ycombinator
Bluejay,https://getbluejay.ai/,Spring 2025,Active,2025,7,"""Test, monitor, and improve your voice and chat AI agents""",bluejay,ycombinator
Kestral,https://kestral.ai,Spring 2025,Active,2025,3,We automate your entire product development lifecycle.,kestral,ycombinator
Percival,https://percy.tech,Spring 2025,Active,2025,3,Accelerating data analysis for research,percival,ycombinator
Sim,https://sim.ai,Spring 2025,Active,2025,5,Open source platform tobuild AI agent workflows,sim,ycombinator
Clarm,https://www.clarm.com,Spring 2025,Active,2025,2,Capture inbound revenue whilst you build,clarm,ycombinator
Beluga,https://www.trybeluga.ai/,Spring 2025,Active,2025,3,Influencer marketing that converts,beluga,ycombinator
Zeon Systems,https://www.zeonsystems.ai/,Spring 2025,Active,2025,5,AI-powered robotics for scientific lab automation.,zeon-systems,ycombinator
Chonkie,https://www.chonkie.ai,Spring 2025,Active,2025,2,Deepresearch on autopilot,chonkie,ycombinator
Ralo,https://www.ralo.com/,Spring 2025,Active,2025,2,Find Your Best Mortgage Deal,ralo,ycombinator
Serafis,https://serafis.ai,Summer 2025,Active,2025,4,The AI knowledge graph for institutionalinvestors,serafis,ycombinator
Golf,https://golf.dev/,Spring 2025,Active,2025,2,Agentic AI Security and Governance,golf,ycombinator
BitBoard,https://bitboard.work/,Spring 2025,Active,2025,2,The best way to use AI for spreadsheets.,bitboard,ycombinator
Blaxel,https://blaxel.ai,Spring 2025,Active,2025,8,The perpetual sandbox platform,blaxel,ycombinator
Mentra,https://mentra.glass,Winter 2025,Active,2025,12,Building the open source smart glasses operating system.,mentra,ycombinator
Dex,https://joindex.com,Winter 2025,Active,2025,2,The AI Coworker in Chrome,joindex,ycombinator
Browser Use,https://browser-use.com,Winter 2025,Active,2024,7,Leading open-source web agent project with 50k stars in 3 months,browser-use,ycombinator
TamLabs,https://tamlabs.ai,Winter 2025,Active,2025,2,AIfor Professional Services,tamlabs,ycombinator
Ergo,https://joinergo.com,Winter 2025,Active,2025,0,AI agents and unified data layer for revenue teams,ergo,ycombinator
CopyCat,https://runcopycat.com,Winter 2025,Active,2024,2,AI agents built for insurance. ,copycat,ycombinator
Spott,https://spott.io,Winter 2025,Active,2025,25,AI-native ATS/CRM for recruiting firms,spott,ycombinator
Woz,https://www.wozcode.com/,Winter 2025,Active,2025,8,Claude Code plugin that reduces token consumption and cost by 50%,woz,ycombinator
Proception Inc,https://proception.ai/,Winter 2025,Active,2025,10,Making humanoids dexterous enough to thread aneedle,proception-inc,ycombinator
Wildcard,https://wild-card.ai,Winter 2025,Active,2025,1,Sell Products in ChatGPT Shopping,wildcard,ycombinator
Pinch,https://startpinch.com,Winter 2025,Active,2025,3,Real-time AI Voice Translation for Developers,pinch,ycombinator
Mastra,https://mastra.ai,Winter 2025,Active,2025,8,"""The Javascript framework for building AI agents, from the Gatsby devs""",mastra,ycombinator
AfterQuery,https://afterquery.com,Winter 2025,Active,2025,30,Applied research lab curating data solutions for foundation model…,afterquery,ycombinator
Artificial Societies,https://societies.io,Winter 2025,Active,2025,6,We build networks of AI personas that simulate stakeholder opinions,artificial-societies,ycombinator
Sennu AI,https://www.sennu.ai,Winter 2025,Active,2025,2,We turn traditional companies into AI companies,sennu-ai,ycombinator
Outlit,https://outlit.ai/,Winter 2025,Active,2025,2,Customer Context for Agents,outlit,ycombinator
Calltree,https://calltree.ai,Winter 2025,Active,2025,7,Enterprise-grade AIsupport reps for call centers,calltree,ycombinator
Nitrode,https://www.nitrode.com,Winter 2025,Active,2025,4,Data for reasoning agents in dynamic environments,nitrode,ycombinator
Exla,https://exla.ai/,Winter 2025,Active,2025,2,An SDK to run transformer models anywhere,exla,ycombinator
Confident AI,https://confident-ai.com,Winter 2025,Active,2025,7,The LLM Eval and Observability Platform forAI Quality,confident-ai,ycombinator
Trata,https://www.trytrata.com/,Winter 2025,Active,2025,6,AI-powered research desk for hedge funds,trata,ycombinator
Haleum,https://haleum.ai/,Winter 2025,Active,2025,3,Human Risk Intelligence for the AI-era,haleum,ycombinator
Lucidic AI,https://lucidic.ai,Winter 2025,Active,2025,4,AI Agent Training via Simulations,lucidic-ai,ycombinator
Mundo AI,https://mundoai.world,Winter 2025,Active,2025,4,High Quality Multilingual Training Data for AI Models,mundo-ai,ycombinator
Pluto,https://www.pluto.trade,Winter 2025,Active,2025,5,Regulated derivatives exchange,pluto,ycombinator
Lopus AI,https://lopus.ai,Winter 2025,Active,2025,2,Analytics built for Growth,lopus-ai,ycombinator
Cenote,https://www.joincenote.com/,Winter 2025,Active,2025,3,AI agents that convert and retain patients for digital clinics,cenote,ycombinator
Harbera,https://harbera.com/,Winter 2025,Active,2025,2,AI Healthcare Provider Credentialing Software,harbera,ycombinator
Stillwind,https://stillwind.ai,Winter 2025,Active,2025,4,Autonomous Electrical Engineering,stillwind,ycombinator
Pickle,https://www.pickle.com,Winter 2025,Active,2025,15,Where your life context becomesunderstanding.,pickle-2,ycombinator
Asteroid,https://asteroid.ai,Winter 2025,Active,2024,5,AI Browser Workforce for Operations Teams,asteroid,ycombinator
Gale,https://galevisa.com,Winter 2025,Active,2025,3,Fast and Data-Driven Immigration Platform,gale,ycombinator
Olive,https://fromolive.com,Winter 2025,Active,2025,2,The context layer for your team,olive,ycombinator
Cuckoo Labs,https://www.cuckoo.so/,Winter 2025,Active,2025,2,Real-time AI translator for global sales and marketing,cuckoo-labs,ycombinator
Mecha Health,https://www.mecha-health.ai/,Winter 2025,Active,2025,4,Foundation models to automate x-ray analysis for radiologists,mecha-health,ycombinator
Osmosis,https://osmosis.ai/,Winter 2025,Active,2025,6,Reinforcement Learning (RL) for AI Agents,osmosis,ycombinator
Swerve,https://www.getswerve.com/,Winter 2025,Active,2025,2,Chat with AI Characters,swerve,ycombinator
Cifrato,https://cifrato.ai,Winter 2025,Active,2025,13,AI Accountant for Accounting Firms,cifrato,ycombinator
Cardamon,https://cardamon.ai/,Winter 2025,Active,2025,2,AI compliance co-pilot for regulated financial businesses,cardamon,ycombinator
Trim,https://trimresearch.com,Winter 2025,Active,2025,3,A foundation model for physics.,trim,ycombinator
SalesPatriot,https://www.salespatriot.com/,Winter 2025,Active,2025,13,We help defense firms win more contracts with the Pentagon,salespatriot,ycombinator
Maive,https://maive.ai,Winter 2025,Active,2025,2,AI for Home Services,maive,ycombinator
Weave,https://workweave.dev,Winter 2025,Active,2025,13,AI to understand engineering work,weave-3,ycombinator
Caseflood.ai,https://caseflood.ai,Winter 2025,Active,2025,2,How elitelaw firms do intake,caseflood-ai,ycombinator
Tejas AI,https://www.trytejas.ai/,Winter 2025,Active,2025,2,Risk Decisioning Platform for Banks,tejas-ai,ycombinator
Toothy AI,https://www.toothy.ai/,Winter 2025,Active,2025,15,AI for insurance verification & billing at dental clinics,toothy-ai,ycombinator
Truffle AI,https://www.trytruffle.ai/,Winter 2025,Active,2025,2,AWS for AI Agents,truffle-ai,ycombinator
Closure,https://closure-intel.com/,Winter 2025,Active,2025,4,Wehelp law enforcement solve crime,closure,ycombinator
Promptless,https://promptless.ai/,Winter 2025,Active,2024,5,An AI teammate that automatically updates your customer-facing docs,promptless,ycombinator
Scout,https://scoutforschools.com/,Winter 2025,Active,2025,8,AI-powered student information system for K-12 schools,scout-4,ycombinator
Vocality Health,https://www.vocalityhealth.com,Winter 2025,Active,2025,2,Voice AI for medical language translation,vocality-health,ycombinator
Alice.tech,https://www.alice.tech/,Winter 2025,Active,2025,5,AI-driven exam prep,alice-tech,ycombinator
Praxim,https://www.praxim.ai/,Winter 2025,Active,2025,2,The agentic AI Word editor,praxim,ycombinator
Tweeks.io,https://tweeks.io,Winter 2025,Active,2025,2,Lovable for Chrome Plugins,tweeksio,ycombinator
Leaping AI,https://www.leapingai.com,Winter 2025,Active,2025,11,Voice AI agents to automate call centers (digital call center workers),leaping-ai,ycombinator
Vetnio,https://vetnio.com/,Winter 2025,Active,2025,6,AI Copilot that automates admin work for veterinary professionals,vetnio,ycombinator
Candor,https://www.usecandor.ai,Winter 2025,Active,2025,2,We help companies win government funding with AI,candor,ycombinator
Outship,https://outship.ai,Winter 2025,Active,2025,3,Hire amazing engineers by seeing how they use AI,outship,ycombinator
Edexia,https://www.edexia.com/,Winter 2025,Active,2024,4,AI Teacher Assistant for Grading Essays,edexia,ycombinator
Quantstruct,https://quantstruct.com,Winter 2025,Active,2025,2,AI documentation engineer – test & autoimprove stale product docs,quantstruct,ycombinator
SRE.ai,https://sre.ai,Fall 2024,Active,2024,5,AI DevOps Agents,sre-ai,ycombinator
Melder,https://melder.io,Fall 2024,Active,2024,2,AI formulas and document support for Microsoft Excel,melder,ycombinator
Forerunner AI,https://tryforerunner.com,Fall 2024,Active,2024,2,AI that gets aircraft flying faster,forerunner-ai,ycombinator
Struct,https://struct.ai,Fall 2024,Active,2024,2,Automate your on-call runbook,struct-ai,ycombinator
ArchiLabs,https://archilabs.ai,Fall 2024,Active,2024,2,AI Copilot for Architects,archilabs,ycombinator
Diffusion Studio,https://diffusion.studio/,Fall 2024,Active,2024,3,"""Professional-grade video editing, in your browser.""",diffusion-studio,ycombinator
BrowserBook,https://www.browserbook.com,Fall 2024,Active,2024,3,The Browser Automation IDE,browserbook,ycombinator
AutoComputer,https://www.autocomputer.ai/,Fall 2024,Active,2024,2,Desktop RPA with AI computer use,autocomputer,ycombinator
vly.ai,https://vly.ai,Fall 2024,Active,2024,3,The Lovable & Replit killers,vly-ai-2,ycombinator
HYBRD,https://www.hybrd.com/,Fall 2024,Active,2024,5,Getfaster & stronger,hybrd,ycombinator
Lingo.dev,https://lingo.dev,Fall 2024,Active,2024,7,"""Localization engineering platform for consistent, quality translations""",lingodotdev,ycombinator
Luthor,https://luthor.ai,Fall 2024,Active,2024,3,Marketing Approval Platform for Regulated Industries,luthor,ycombinator
Keye,https://www.keye.co,Fall 2024,Active,2024,3,The Smartest Private Equity Investor,keye,ycombinator
RiskCube,https://riskcube.com,Fall 2024,Active,2024,3,AI-native insurance broker for startups — from Earth to the Moon.,riskcube,ycombinator
CTGT,https://www.ctgt.ai/,Fall 2024,Active,2024,6,The deterministic layer for frontier intelligence,ctgt,ycombinator
Endstack,https://www.endstack.com,Fall 2024,Active,2024,2,Cloud desktop OS for humans and agents,endstack,ycombinator
Revyl,https://www.revyl.ai,Fall 2024,Active,2024,7,AI-Native Mobile Testing,revyl,ycombinator
Raycaster,https://raycaster.ai,Fall 2024,Active,2024,3,AI for life sciences documents,raycaster,ycombinator
Darkgrade,https://darkgrade.com,Fall 2024,Active,2024,1,Let your camera understand the world,darkgrade,ycombinator
Candle,https://www.trycandle.app/,Fall 2024,Active,2024,2,Candle helps friends and couples grow closer daily in just 5 minutes.,candle,ycombinator
Galini,https://www.galini.ai/,Fall 2024,Active,2024,2,Compliance guardrails-as-a-servicefor AI applications,galini,ycombinator
Riveter,https://www.riveterhq.com/,Fall 2024,Active,2024,2,Turn the web into structured data,riveter,ycombinator
Onlook,https://onlook.com/,Winter 2025,Active,2025,4,Cursor for Designers,onlook,ycombinator
DreamRP,https://www.dreamrp.com/,Summer 2024,Active,2024,2,Tech andplatforms for human creators and the entertainment industry,dreamrp,ycombinator
Conductor,https://conductor.build,Summer 2024,Active,2024,4,Run a team of coding agents on your Mac,conductor,ycombinator
PathPilot,https://www.getpathpilot.com/,Summer 2024,Active,2024,3,AI Agents for Lending Operations,pathpilot,ycombinator
Affil.ai,https://affil.ai/,Summer 2024,Active,2024,4,AI Affiliate Network For Financial Companies,affil-ai,ycombinator
Overlap,https://www.overlap.ai,Summer 2024,Active,2024,6,Multimodal AI agents for video,overlap,ycombinator
Void,https://useglass.ai,Summer 2024,Active,2024,2,The open source Cursor alternative,void,ycombinator
Anglera,https://www.anglera.com/,Summer 2024,Active,2024,6,AI-Powered Product Data Enrichment,anglera,ycombinator
Pipeshift,https://pipeshift.com,Summer 2024,Active,2024,10,Inference for real-time production workloads,pipeshift,ycombinator
Vera Health,https://www.vera-health.ai,Summer 2024,Active,2024,6,AI-powered clinical decision support for healthcare providers,vera-health,ycombinator
Keet,https://trykeet.com,Summer 2024,Active,2024,2,Authentication for AI Agents,keet,ycombinator
Usul,https://www.usul.com,Summer 2024,Active,2024,11,AI Platform for Winning Defense & Government Contracts,usul,ycombinator
Oway,https://www.shipoway.com,Summer 2024,Active,2024,10,AI Infrastructure for America’s Empty Truck Space,oway,ycombinator
Voker,https://voker.ai,Summer 2024,Active,2024,6,The Agent Analytics Platform,voker,ycombinator
Rastro,https://rastro.ai,Summer 2024,Active,2024,3,The fastest way to launch product catalogs.,rastro,ycombinator
Quetzal,https://getquetzal.com/,Summer 2024,Active,2024,2,"""Simple, LLM-first translation and internationalization for software""",quetzal,ycombinator
Typa,https://typa.ai,Summer 2024,Active,2024,2,The content engine that wins attention and drives growth.,typa,ycombinator
"Sterling Labs, Inc",https://www.focusbuddy.ai/?ref=yc,Summer 2024,Active,2024,2,Currently in stealth - previously FocusBuddy,sterling-labs-inc,ycombinator
Orca Launcher,https://orcalauncher.com,Summer 2024,Active,2024,2,A launcher that turns Minecraft into a game platform like Roblox ,orca-launcher,ycombinator
Assembly HOA,https://assemblyhoa.com,Summer 2024,Active,2024,12,AI-native HOA Management Company,assembly-hoa,ycombinator
Polymet,https://polymet.ai,Summer 2024,Active,2024,3,AI Product Designer,polymet,ycombinator
